Gmt time,Open,High,Low,Close,Volume
20.01.2019 22:00:00.000,1.28724,1.32172,1.28301,1.31984,1107960.1908000002
27.01.2019 22:00:00.000,1.31837,1.32109,1.30430,1.30739,1179095.526
03.02.2019 22:00:00.000,1.30618,1.31034,1.28540,1.29441,998434.5467000001
10.02.2019 22:00:00.000,1.29277,1.29584,1.27727,1.28865,1067539.5891000004
17.02.2019 22:00:00.000,1.29028,1.31088,1.28913,1.30494,1126913.5797
24.02.2019 22:00:00.000,1.30713,1.33499,1.30488,1.31983,1316254.9805999997
03.03.2019 22:00:00.000,1.32446,1.32541,1.29896,1.30111,1107835.6892
10.03.2019 21:00:00.000,1.29646,1.33808,1.29604,1.32884,1320270.7698000008
17.03.2019 21:00:00.000,1.32950,1.33105,1.30039,1.32058,1201691.9144
24.03.2019 21:00:00.000,1.32127,1.32687,1.29776,1.30294,1238602.1756999998
31.03.2019 21:00:00.000,1.30368,1.31956,1.29866,1.30338,1140527.8024
07.04.2019 21:00:00.000,1.30337,1.31325,1.30197,1.30634,913419.7612999994
14.04.2019 21:00:00.000,1.30737,1.31188,1.29783,1.29815,922929.4380999998
21.04.2019 21:00:00.000,1.29892,1.30188,1.28654,1.29106,695412.1318999999
28.04.2019 21:00:00.000,1.29137,1.31762,1.29046,1.31694,774183.5715999998
05.05.2019 21:00:00.000,1.31388,1.31704,1.29673,1.29997,743444.0807999999
12.05.2019 21:00:00.000,1.29924,1.30407,1.27118,1.27150,619865.4981
19.05.2019 21:00:00.000,1.27331,1.28137,1.26049,1.27111,678122.7008000002
26.05.2019 21:00:00.000,1.27257,1.27476,1.25590,1.26291,674049.4199000004
02.06.2019 21:00:00.000,1.26277,1.27627,1.26102,1.27354,775242.0806000003
09.06.2019 21:00:00.000,1.27197,1.27583,1.25796,1.25891,814367.1207000001
16.06.2019 21:00:00.000,1.25784,1.27462,1.25058,1.27403,901936.4171999994
23.06.2019 21:00:00.000,1.27290,1.27836,1.26596,1.26916,858269.9986
30.06.2019 21:00:00.000,1.26968,1.27053,1.24808,1.25209,680868.5228
07.07.2019 21:00:00.000,1.25251,1.25786,1.24393,1.25705,712005.8515000001
14.07.2019 21:00:00.000,1.25515,1.25781,1.23816,1.24972,667060.9678000002
21.07.2019 21:00:00.000,1.24746,1.25220,1.23757,1.23805,640801.8092
